ggap,tfp
0.6,0.011548461
0.6,0.011765492
0.6,0.015125266
0.6,0.011171051
0.6,0.010446506
0.6,0.014221016
0.6,0.015034982
0.6,0.007691381
0.6,0.010564155
0.6,0.013525166
0.6,0.01164145
0.58,0.010013719
0.56,0.011841683
0.54,0.006664148
0.52,0.004519791
0.5,0.005702361
0.48,0.006379607
0.46,0.00646021
0.44,0.011075563
0.42,0.010538224
0.4,0.01159909
0.4,0.012254699
0.4,0.012529731
0.4,0.008136925
0.4,0.007480939
0.4,0.003816394
0.38,0.005326278
0.36,0.001987315
0.34,-0.000111955
0.32,-0.006388632
0.3,-0.00526866
0.3,-0.006981543
0.3,-0.007102645
0.3,-0.00348688
0.3,0.001963046
0.3,0.000663308
