ggap,tfp
0.5,0.00339903
0.5,0.006319458
0.5,0.006187238
0.5,0.003953964
0.5,0.004076096
0.5,0.011291186
0.48,0.010283842
0.46,0.012973066
0.44,0.018979033
0.42,0.018896388
0.4,0.017046091
0.4,0.015767221
0.4,0.011172309
0.4,0.002605891
0.4,7.8325E-05
0.4,-0.001953273
0.4,-0.000122906
0.4,0.000525727
0.4,0.000766433
0.4,-4.68943E-06
0.4,0.001758764
0.38,8.86088E-06
0.36,0.001476166
0.34,0.005172435
0.32,0.007469193
0.3,0.005546913
0.3,0.005222359
0.3,0.005743978
0.3,0.002320972
0.3,-0.0062034
0.3,-0.001048543
0.28,-0.001046798
0.26,-0.000351524
0.24,0.005800518
0.22,0.01213219
0.2,0.006932394
