ggap,tfp
0.6,0.007947721
0.6,0.006659369
0.6,0.01003235
0.6,0.013062708
0.6,0.008619569
0.6,0.016004066
0.58,0.016674175
0.56,0.017000906
0.54,0.012383347
0.52,0.010802618
0.5,0.004376382
0.48,0.000441034
0.46,-0.003276015
0.44,-0.002604363
0.42,0.002873921
0.4,0.005898562
0.38,0.007214958
0.36,0.011082878
0.34,0.01049676
0.32,0.009943394
0.3,0.013079646
0.3,0.014420724
0.3,0.011791728
0.3,0.012778324
0.3,0.011892698
0.3,0.010525432
0.28,0.010694514
0.26,0.009161248
0.24,0.001714402
0.22,-0.006107297
0.2,-0.006434444
0.18,-0.00723741
0.16,-0.00863543
0.14,-0.004014381
0.12,0.003467303
0.1,0.003217754
