country,ggap1980,ggap1985,ggap1990,ggap1995,ggap2000,ggap2005,ggap2010,ggap2015,range7580,range8085,range8590,range9095,range9500,range0005,range0510,range1015
Japan,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.2,0.01710304,0.057208644,0.087780692,-0.009685456,0.008799295,0.027949042,-0.005204591,0.035126565
China,1.5,1.3,1.2,1.1,1,0.9,0.8,0.7,-0.036172489,0.065502698,-0.075970246,0.090339924,-0.059785162,0.123552792,0.170966533,-0.003231056
India,2.5,2.6,2.6,2.6,2.5,2.3,2.1,1.9,-0.056494988,0.038968763,0.050275095,0.044972922,0.057106931,0.065268258,0.074717658,0.092955272
Australia,0.5,0.4,0.3,0.1,0,-0.1,-0.1,-0.1,-0.009823664,0.015364649,-0.044032699,0.06368888,0.056349658,0.039370417,0.000720418,0.027104639
Canada,0.4,0.3,0.3,0.2,0.2,0.1,0,0,0.004088018,0.021078061,-0.035055886,0.017329568,0.042408668,0.013580466,-0.039634888,0.015732031
Egypt,2.5,2.5,2.4,2.3,2.1,1.8,1.6,1.5,-0.038839804,-1.0696E-05,-0.083909756,-0.077854473,-0.064537592,-0.047496354,-0.021658585,-0.023868402
U.K.,0.6,0.6,0.5,0.4,0.3,0.3,0.2,0.1,0.039805988,0.082120867,0.021447729,0.02967697,0.06699209,0.053699788,-0.032438184,0.016158582
America,0.1,0.1,0.1,0.1,0,-0.1,-0.1,-0.1,0.006590001,0.037563121,0.030301704,0.027146591,0.053199284,0.064589848,0.009312776,0.016529482
Argentina,0,0,-0.1,-0.1,-0.2,-0.2,-0.3,-0.3,-0.045594629,-0.163278713,-0.074143288,0.210962622,-0.01270574,0.025738082,0.069846866,-0.059516975
Austria,1.9,1.8,1.7,1.5,1.4,1.2,1,0.9,0.041396149,0.037651391,0.047983879,0.0509528,0.032759072,0.023639977,0.0101528,0.00891438
Belgium,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.082840347,0.015128513,0.064834486,0.038117752,0.030745291,0.011861872,0.005086311,0.011777188
Brazil,0,-0.1,-0.2,-0.3,-0.3,-0.4,-0.4,-0.3,0.101007178,-0.139266516,-0.073160878,0.02599681,-0.061501675,-0.014940551,0.049465603,-0.103093959
Finland,0.3,0.2,0.2,0.1,0,-0.1,-0.2,-0.2,0.102990352,0.044348888,0.067515331,0.069072354,0.131726209,0.04370511,-0.023550865,-0.030883199
France,0.6,0.6,0.6,0.5,0.4,0.4,0.3,0.3,0.058818628,0.072772564,0.059386547,0.028689858,0.059262362,0.019158047,-0.0265468,0.003282957
Germany,1.5,1.3,1.2,1.1,0.9,0.8,0.6,0.5,0.072449362,0.032795544,0.118251172,0.100808003,0.034085465,0.020464236,0.002507435,0.043832458
Greece,1.4,1.3,1.1,0.9,0.7,0.5,0.4,0.3,0.025152284,-0.118696637,-0.038429432,-0.03604543,0.056169837,0.050641484,-0.049923154,-0.109549495
Hungary,1.1,1,1,0.8,0.7,0.5,0.4,0.2,0.005902023,0.120951501,0.002071115,0.000529587,0.048292565,0.158712526,-0.035176914,0.011120851
Iceland,1,0.9,0.8,0.6,0.4,0.2,0,-0.1,0.184827225,-0.057174989,0.063387194,-0.0443015,0.011700225,0.117281828,0.022059451,0.06490281
Ireland,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,0.056767265,0.072540237,0.14634647,0.157725128,0.183989388,0.016687353,-0.040511844,0.203383325
New Zealand,1,0.9,0.8,0.6,0.5,0.4,0.3,0.2,-0.078268174,0.031105318,-0.029381157,0.028276012,0.029992314,0.025901168,0.01713293,0.024499573
Norway,0.3,0.3,0.3,0.2,0.2,0.1,0,-0.1,0.089892912,0.059686745,0.028467463,0.149137663,0.04611068,0.05726453,-0.085520674,-0.007602457
Poland,0.5,0.4,0.3,0.2,0.1,0,-0.1,-0.2,0.045652041,-0.072596041,-0.064994794,0.067478262,0.103972358,0.099108579,0.066984139,0.022608558
Portugal,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.1,0.060726988,-0.074551602,0.09880955,-0.023975367,-0.013991802,0.001596181,-0.022749416,-0.01616772
Hong Kong,1.8,1.5,1.3,1.1,0.9,0.8,0.6,0.6,0.182966863,0.0180264,0.178129691,0.058875063,-0.097109694,0.033468906,0.091886409,0.033725889
Indonesia,1.3,1.2,1.2,1.1,1,0.8,0.7,0.6,0.039055563,-0.097605323,-0.012464063,0.046647834,-0.18773207,0.068336926,0.045545019,0.094123447
Iran,2,2,1.9,1.7,1.4,1.1,0.8,0.7,-0.51657476,-0.001133609,-0.058607799,-0.024676993,-0.00922457,-0.052084771,0.021097104,-0.136922634
Iraq,2.7,2.6,2.4,2.3,2.1,2,1.8,1.5,0.01107364,-0.470541901,0.085234733,-0.46502553,2.032445811,-0.223092772,-0.028174609,-0.109234901
